"SAMPLE_ID","STATION_ID","DEPTH","DATE","CELL","NGVD29","COLLECT_METHOD","MATRIX","Position","ALKALINITY, TOT, CACO3","AMMONIA-N","CALCIUM","CARBON, DISSOLVED ORGANIC","CHLORIDE","CHLOROPHYLL-A(LC)","CHLOROPHYLL-B (LC)","DEPTH, TOTAL","DISSOLVED OXYGEN","HARDNESS AS CACO3","MAGNESIUM","NITRATE+NITRITE-N","NO BOTTLE SAMPLE","PH, FIELD","PHEOPHYTIN-A(LC)","PHOSPHATE, DISSOLVED AS P","PHOSPHATE, ORTHO AS P","PHOSPHATE, TOTAL AS P","POTASSIUM","SODIUM","SP CONDUCTIVITY, FIELD","SULFATE","TEMP","TOTAL NITROGEN","TOTAL SUSPENDED SOLIDS","TURBIDITY","VOLATILE SUSPENDED SOLIDS","Name","PHOSPHATE, PARTICULATE AS P","PHOSPHATE,DISSOLVED ORGANIC AS P","NA:CL","K:CL","CA:CL","SO4:CL","MG:CL","CA+MG","NA+K","CL+SO4","BICARBONATE","Ionic Strength","Cation Total meq","Anion Total meq","Cation/Anion"
"P107197-14","L8CELL6",0.5,2019-06-20,"L8CELL6",-17.84042,"G","SW","Top",218,0.182,90.3,19,288,NA,NA,6.4,5.51,322.2,23.5,0.037,NA,7.9,NA,0.006,0.002,0.042,8.7,183.6,1610,159,27.8,1.63,4,NA,NA,"L8CELL6",0.036,0.004,0.6375,0.0302083333333333,0.313541666666667,0.552083333333333,0.0815972222222222,113.8,192.3,447,435.999999209189,23.7475,14.658372717563,15.792806154686,0.928
"P107197-15","L8CELL6",3.5,2019-06-20,"L8CELL6",-27.68294,"G","SW","Mid",220,0.226,92.8,18.3,271,NA,NA,6.4,4.01,330.3,23.9,0.034,NA,7.7,NA,0.006,0.002,0.042,8.9,191.1,1657,149,27.8,1.6,4,NA,NA,"L8CELL6",0.036,0.004,0.705166051660517,0.0328413284132841,0.342435424354244,0.549815498154982,0.0881918819188192,116.7,200,420,439.999999500215,24.44075,15.1498287196559,15.1450382946694,1
"P107197-16","L8CELL6",5.9,2019-06-20,"L8CELL6",-35.556956,"G","SW","Bottom",236,0.607,96.4,19,364,NA,NA,6.4,0.48,350.4,26.7,0.022,NA,7.4,NA,0.03,0.022,0.074,9.4,237.5,1857,178,27.7,2.02,4,NA,NA,"L8CELL6",0.044,0.008,0.652472527472527,0.0258241758241758,0.264835164835165,0.489010989010989,0.0733516483516484,123.1,246.9,542,471.999999749164,27.39075,17.6120925494601,18.6921129023141,0.942
"P107197-17","L8CELL7",0.5,2019-06-20,"L8CELL7",-17.84042,"G","SW","Top",216,0.114,94,18.3,274,NA,NA,6.35,6.23,330.1,23.1,0.026,NA,8.1,NA,0.007,0.002,0.042,8.7,183,1572,154,28,1.54,4,NA,NA,"L8CELL7",0.035,0.005,0.667883211678832,0.0317518248175182,0.343065693430657,0.562043795620438,0.0843065693430657,117.1,191.7,428,431.999998749888,23.187,14.7802261387327,15.2537981191718,0.969
"P107197-18","L8CELL7",3.5,2019-06-20,"L8CELL7",-27.68294,"G","SW","Mid",216,0.152,96.2,17.8,270,NA,NA,6.35,4.48,337.1,23.5,0.026,NA,7.9,NA,0.007,0.002,0.045,8.6,186.2,1575,152,27.8,1.51,-3,NA,NA,"L8CELL7",0.038,0.005,0.68962962962963,0.0318518518518519,0.356296296296296,0.562962962962963,0.087037037037037,119.7,194.8,422,431.999999209189,23.23125,15.0616608554903,15.0993224990625,0.998
"P107197-19","L8CELL7",5.9,2019-06-20,"L8CELL7",-35.556956,"G","SW","Bottom",234,0.704,97.5,19,321,NA,NA,6.35,0.19,347.9,25.4,0.012,NA,7.6,NA,0.014,0.008,0.058,9.1,214.4,1756,161,27.7,2.17,14,NA,NA,"L8CELL7",0.044,0.006,0.66791277258567,0.0283489096573209,0.303738317757009,0.501557632398754,0.0791277258566978,122.9,223.5,482,467.999999602778,25.901,16.5529071051088,17.0852074225898,0.969
"P107197-2","L8CELL12",0.5,2019-06-20,"L8CELL12",-17.84042,"G","SW","Top",215,0.007,94.8,18.2,256,NA,NA,7.3,7.1,329.5,22.5,-0.005,NA,8.4,NA,0.005,0.002,0.033,8.5,177.7,1552,151,28.5,1.42,5,NA,NA,"L8CELL12",0.028,0.003,0.694140625,0.033203125,0.3703125,0.58984375,0.087890625,117.3,186.2,407,429.999997522957,22.892,14.5291921706538,14.6635877492788,0.991
"P107197-20","L8FEBIN",0.5,2019-06-20,"L8FEBIN",-17.84042,"G","SW","Top",217,0.148,93.8,18.7,263,NA,NA,2.66,6.24,331.9,23.7,0.045,NA,8,NA,0.007,0.002,0.045,8.8,184.1,1589,147,27.8,1.74,4,NA,NA,"L8FEBIN",0.038,0.005,0.7,0.0334600760456274,0.356653992395437,0.55893536121673,0.0901140684410646,117.5,192.9,410,433.999999005569,23.43775,14.8718998222647,14.8177516861205,1.004
"P107197-21","L8FEBOUT",0.5,2019-06-20,"L8FEBOUT",-17.84042,"G","SW","Top",216,0.06,96.3,18,256,NA,NA,8.2,6.49,335.4,23.1,-0.005,NA,8.3,NA,0.006,0.002,0.032,8.6,177.8,1552,151,28.6,1.47,6,NA,NA,"L8FEBOUT",0.026,0.004,0.69453125,0.03359375,0.376171875,0.58984375,0.090234375,119.4,186.4,407,431.999998026785,22.892,14.6632504022001,14.6835797524775,0.999
"P107197-3","L8CELL12",3.4,2019-06-20,"L8CELL12",-27.354856,"G","SW","Mid",215,0.019,96.2,17.9,255,NA,NA,7.3,5.89,334.7,22.9,-0.005,NA,8.3,NA,0.004,0.002,0.031,8.8,180.6,1566,150,28.1,1.41,4,NA,NA,"L8CELL12",0.027,0.002,0.708235294117647,0.0345098039215686,0.377254901960784,0.588235294117647,0.0898039215686274,119.1,189.4,405,429.999998026785,23.0985,14.7664458657468,14.614558683935,1.01
"P107197-4","L8CELL12",6.8,2019-06-20,"L8CELL12",-38.509712,"G","SW","Bottom",238,1.198,97,18.1,255,NA,NA,7.3,0.14,337.8,23.2,-0.005,NA,7.3,NA,0.009,0.003,0.05,8.9,185.9,1679,129,26.3,2.58,3,NA,NA,"L8CELL12",0.041,0.006,0.729019607843137,0.0349019607843137,0.380392156862745,0.505882352941176,0.0909803921568627,120.2,194.8,384,475.999999800696,24.76525,15.1295082047725,14.6371480242138,1.034
"P107197-5","L8CELL3",0.5,2019-06-20,"L8CELL3",-17.84042,"G","SW","Top",215,0.07,94.1,17.8,254,NA,NA,7.4,5.98,328.1,22.6,-0.005,NA,8.3,NA,0.006,0.002,0.032,8.6,177,1552,150,28.4,1.46,4,NA,NA,"L8CELL3",0.026,0.004,0.696850393700787,0.0338582677165354,0.370472440944882,0.590551181102362,0.0889763779527559,116.7,185.6,404,429.999998026785,22.892,14.4780897304635,14.5863499392241,0.993
"P107197-6","L8CELL3",3.5,2019-06-20,"L8CELL3",-27.68294,"G","SW","Mid",216,0.07,96.2,17.7,260,NA,NA,7.4,5.32,334.1,22.8,-0.005,NA,8.2,NA,0.006,0.002,0.032,8.7,180.5,1565,153,28,1.45,4,NA,NA,"L8CELL3",0.026,0.004,0.694230769230769,0.0334615384615385,0.37,0.588461538461538,0.0876923076923077,119,189.2,413,431.99999842905,23.08375,14.7541385551788,14.8380553725868,0.994
"P107197-7","L8CELL3",6.9,2019-06-20,"L8CELL3",-38.837796,"G","SW","Bottom",235,0.982,95.5,18.4,268,NA,NA,7.4,0.25,333.9,23.2,-0.005,NA,7.4,NA,0.006,0.002,0.044,9,180.8,1629,140,26.8,2.55,4,NA,NA,"L8CELL3",0.038,0.004,0.674626865671642,0.0335820895522388,0.35634328358209,0.522388059701492,0.0865671641791045,118.7,189.8,408,469.999999749164,24.02775,14.8233961635892,15.1729092228212,0.977
"P107197-8","L8CELL4",0.5,2019-06-20,"L8CELL4",-17.84042,"G","SW","Top",215,0.095,93.2,18.4,256,NA,NA,6.8,6.13,328.4,23.2,0.018,NA,8.1,NA,0.008,0.002,0.04,8.6,181.7,1578,143,28.1,1.5,4,NA,NA,"L8CELL4",0.032,0.006,0.709765625,0.03359375,0.3640625,0.55859375,0.090625,116.4,190.3,399,429.999998749888,23.2755,14.6883734436814,14.4970251842153,1.013
"P107197-9","L8CELL4",3.15,2019-06-20,"L8CELL4",-26.534646,"G","SW","Mid",215,0.094,91.1,18.2,259,NA,NA,6.8,6.19,321.1,22.7,0.018,NA,8.2,NA,0.005,0.002,0.04,8.6,177.4,1569,148,27.9,1.48,5,NA,NA,"L8CELL4",0.035,0.003,0.684942084942085,0.0332046332046332,0.351737451737452,0.571428571428571,0.0876447876447876,113.8,186,407,429.99999842905,23.14275,14.3553462753099,14.6857530215125,0.978
"P107198-10","L8CELL4",2.2,2019-07-22,"L8CELL4",-35.897848,"G","SW","Bottom",278,0.01,120.5,16,577,NA,NA,2.7,5.73,452,36.7,-0.005,NA,8,NA,0.006,0.002,0.151,11.1,386.6,2998,249,29.5,1.86,21,NA,NA,"L8CELL4",0.145,0.004,0.67001733102253,0.0192374350086655,0.208838821490468,0.431542461005199,0.0636048526863085,157.2,397.7,826,555.999999005569,44.2205,26.1334879220736,27.0184824250122,0.967
"P107198-11","L8CELL5",0.5,2019-07-22,"L8CELL5",-30.32042,"G","SW","Top",256,0.01,113,16.8,471,NA,NA,2.65,7.96,409.2,30.8,-0.005,NA,8.2,NA,0.008,0.002,0.106,10.1,306.6,2458,217,30.4,1.8,17,NA,NA,"L8CELL5",0.098,0.006,0.650955414012739,0.0214437367303609,0.239915074309979,0.46072186836518,0.0653927813163482,143.8,316.7,688,511.99999842905,36.2555,21.7683388399035,22.9222811550352,0.95
"P107198-12","L8CELL5",1.32,2019-07-22,"L8CELL5",-33.0107088,"G","SW","Mid",257,0.017,115.1,15.5,462,NA,NA,2.65,6.67,417.8,31.7,-0.005,NA,8.1,NA,0.006,0.002,0.107,10.2,306.6,2481,213,29.9,1.78,16,NA,NA,"L8CELL5",0.101,0.004,0.663636363636364,0.0220779220779221,0.249134199134199,0.461038961038961,0.0686147186147186,146.8,316.8,675,513.999998749888,36.59475,21.9501184553955,22.6051131733044,0.971
"P107198-13","L8CELL5",2.15,2019-07-22,"L8CELL5",-35.733806,"G","SW","Bottom",255,0.012,113.2,15.9,467,NA,NA,2.65,5.03,411.9,31.4,-0.005,NA,8,NA,0.006,0.032,0.149,10.3,310,2522,214,29.6,1.72,17,NA,NA,"L8CELL5",0.143,-0.026,0.663811563169165,0.0220556745182013,0.242398286937901,0.458244111349036,0.067237687366167,144.6,320.3,681,509.999999005569,37.1995,21.9808040627505,22.7269932110942,0.967
"P107198-14","L8CELL6",0.5,2019-07-22,"L8CELL6",-30.32042,"G","SW","Top",338,0.01,144.7,18,937,NA,NA,2.25,7.07,586.2,54.6,-0.005,NA,8,NA,0.006,0.002,0.061,14.7,634.7,4463,380,29.4,1.96,11,NA,NA,"L8CELL6",0.055,0.004,0.677374599786553,0.0156883671291355,0.154429028815368,0.405549626467449,0.0582710779082177,199.3,649.4,1317,675.999999005569,65.82925,39.6979073351865,41.10061271576,0.966
"P107198-15","L8CELL6",1.12,2019-07-22,"L8CELL6",-32.3545408,"G","SW","Mid",339,0.01,143.2,17.6,938,NA,NA,2.25,6.76,580.7,54.2,-0.005,NA,7.9,NA,0.006,0.002,0.07,14.2,629.8,4484,380,29.4,1.93,11,NA,NA,"L8CELL6",0.064,0.004,0.671428571428571,0.015138592750533,0.152665245202559,0.405117270788913,0.0577825159914712,197.4,644,1318,677.999999209189,66.139,39.3642156264242,41.1488134636696,0.957
"P107198-16","L8CELL6",1.75,2019-07-22,"L8CELL6",-34.42147,"G","SW","Bottom",342,0.05,144.8,18,979,NA,NA,2.25,6.2,590.7,55.6,-0.005,NA,7.9,NA,0.006,0.002,0.058,14.8,649.5,4543,396,29.3,2.05,12,NA,NA,"L8CELL6",0.052,0.004,0.663432073544433,0.0151174668028601,0.147906026557712,0.404494382022472,0.0567926455566905,200.4,664.3,1375,683.999999209189,67.00925,40.4337291468241,42.6984731365381,0.947
"P107198-17","L8CELL7",0.5,2019-07-22,"L8CELL7",-30.32042,"G","SW","Top",292,0.021,126.4,16.5,663,NA,NA,2.3,6.98,478.8,39.6,-0.005,NA,8.1,NA,0.006,0.003,0.155,11.5,427,3225,280,29.7,1.86,17,NA,NA,"L8CELL7",0.149,0.003,0.644042232277526,0.0173453996983409,0.190648567119155,0.422322775263952,0.0597285067873303,166,438.5,943,583.999998749888,47.56875,28.4346862298257,30.3697524545494,0.936
"P107198-18","L8CELL7",1.15,2019-07-22,"L8CELL7",-32.452966,"G","SW","Mid",280,0.01,127.2,16.5,631,NA,NA,2.3,7.06,480.4,39.5,-0.005,NA,8.1,NA,0.006,0.003,0.148,11.4,430.5,3223,267,29.7,1.88,19,NA,NA,"L8CELL7",0.142,0.003,0.682250396196514,0.0180665610142631,0.201584786053883,0.423137876386688,0.0625990491283677,166.7,441.9,898,559.999998749888,47.53925,28.6154587144944,28.956504417189,0.988
"P107198-19","L8CELL7",1.8,2019-07-22,"L8CELL7",-34.585512,"G","SW","Bottom",300,0.012,132,16.7,677,NA,NA,2.3,6.54,505,42.6,-0.005,NA,8.1,NA,0.008,0.055,0.007,12.2,465,3235,284,29.4,1.89,20,NA,NA,"L8CELL7",-0.001,-0.047,0.68685376661743,0.0180206794682422,0.194977843426883,0.419497784342688,0.0629246676514033,174.6,477.2,961,599.999998749888,47.71625,30.6313077146626,31.0078921886229,0.988
"P107198-2","L8CELL12",0.5,2019-07-22,"L8CELL12",-30.32042,"G","SW","Top",240,0.007,103.6,14.7,365,NA,NA,3.3,8.51,366.8,26.2,-0.005,NA,8.3,NA,0.005,0.002,0.084,9.4,238.5,2054,178,30.7,1.71,13,NA,NA,"L8CELL12",0.079,0.003,0.653424657534247,0.0257534246575342,0.283835616438356,0.487671232876712,0.0717808219178082,129.8,247.9,543,479.999998026785,30.2965,17.9404764488487,18.8002896598199,0.954
"P107198-20","L8FEBIN",0.5,2019-07-22,"L8FEBIN",-30.32042,"G","SW","Top",335,0.095,148.8,17.3,864,NA,NA,2.05,5.43,591.2,55.9,-0.005,NA,7.7,NA,0.007,0.002,0.08,14.3,636.9,4275,357,29,1.1,14,NA,NA,"L8FEBIN",0.073,0.005,0.737152777777778,0.0165509259259259,0.172222222222222,0.413194444444444,0.0646990740740741,204.7,651.2,1221,669.999999500215,63.05625,40.0996298015347,38.5025309677135,1.041
"P107198-21","L8FEBOUT",0.5,2019-07-22,"L8FEBOUT",-30.32042,"G","SW","Top",235,0.01,103.4,15.3,365,NA,NA,4.25,8.61,362.6,25.4,-0.005,NA,8.3,NA,0.006,0.002,0.122,9,232.6,2002,178,30.2,2.14,15,NA,NA,"L8FEBOUT",0.116,0.004,0.637260273972603,0.0246575342465753,0.283287671232877,0.487671232876712,0.0695890410958904,128.8,241.6,543,469.999998026785,29.5295,17.5979715176883,18.7003296438263,0.941
"P107198-3","L8CELL12",1.65,2019-07-22,"L8CELL12",-34.093386,"G","SW","Mid",240,0.016,104.8,15.2,365,NA,NA,3.3,7.66,370.4,26.4,-0.005,NA,8.2,NA,0.005,0.002,0.081,9.4,245.4,2069,176,29.9,1.69,14,NA,NA,"L8CELL12",0.076,0.003,0.672328767123288,0.0257534246575342,0.287123287671233,0.482191780821918,0.0723287671232877,131.2,254.8,541,479.99999842905,30.51775,18.3174532883934,18.758649018554,0.976
"P107198-4","L8CELL12",2.8,2019-07-22,"L8CELL12",-37.866352,"G","SW","Bottom",239,0.01,105.2,15.8,361,NA,NA,3.3,5.7,372.2,26.6,-0.005,NA,8.1,NA,0.006,0.002,0.105,9.6,240.1,2054,175,29.4,1.74,15,NA,NA,"L8CELL12",0.099,0.004,0.665096952908587,0.0265927977839335,0.291412742382271,0.484764542936288,0.0736842105263158,131.8,249.7,536,477.999998749888,30.2965,18.1281049358949,18.6050017158789,0.974
"P107198-5","L8CELL3",0.5,2019-07-22,"L8CELL3",-30.32042,"G","SW","Top",235,0.01,105.6,14.5,342,NA,NA,3.4,7.66,369.8,25.8,-0.005,NA,8.2,NA,0.006,0.002,0.116,9.2,229.4,1988,167,30.3,1.72,13,NA,NA,"L8CELL3",0.11,0.004,0.670760233918129,0.0269005847953216,0.308771929824561,0.488304093567251,0.0754385964912281,131.4,238.6,509,469.99999842905,29.323,17.6065783072621,17.8225049885142,0.988
"P107198-6","L8CELL3",1.7,2019-07-22,"L8CELL3",-34.257428,"G","SW","Mid",234,0.012,105.2,14.8,357,NA,NA,3.4,6.71,369,25.8,-0.005,NA,8.2,NA,0.005,0.002,0.103,9.2,230.7,2001,175,29.9,1.74,13,NA,NA,"L8CELL3",0.098,0.003,0.646218487394958,0.0257703081232493,0.294677871148459,0.490196078431373,0.0722689075630252,131,239.9,532,467.99999842905,29.51475,17.6432778825138,18.3922067210419,0.959
"P107198-7","L8CELL3",2.9,2019-07-22,"L8CELL3",-38.194436,"G","SW","Bottom",234,0.01,103.4,14.7,348,NA,NA,3.4,5.07,363.8,25.6,-0.005,NA,8.1,NA,0.007,0.002,0.109,9.1,233.1,2002,170,29.6,1.76,15,NA,NA,"L8CELL3",0.102,0.005,0.669827586206897,0.0261494252873563,0.297126436781609,0.488505747126437,0.0735632183908046,129,242.2,518,467.999998749888,29.5295,17.6387327289316,18.0342264154794,0.978
"P107198-8","L8CELL4",0.5,2019-07-22,"L8CELL4",-30.32042,"G","SW","Top",266,0.01,122.2,16.1,622,NA,NA,2.7,7.87,456.9,36.9,-0.005,NA,8.2,NA,0.007,0.002,0.083,11.1,386.6,2949,271,30.3,1.88,16,NA,NA,"L8CELL4",0.076,0.005,0.621543408360129,0.0178456591639871,0.196463022508039,0.435691318327974,0.0593247588424437,159.1,397.7,893,531.99999842905,43.49775,26.2347723954961,28.5060189525409,0.92
"P107198-9","L8CELL4",1.35,2019-07-22,"L8CELL4",-33.109134,"G","SW","Mid",277,0.01,120.9,15.9,579,NA,NA,2.7,7.83,451.6,36.3,-0.005,NA,8.2,NA,0.006,0.003,0.11,10.9,389.2,2918,251,29.8,1.82,15,NA,NA,"L8CELL4",0.104,0.003,0.672193436960276,0.0188255613126079,0.20880829015544,0.433506044905009,0.0626943005181347,157.2,400.1,830,553.99999842905,43.0405,26.2285222125997,27.0965485525011,0.968
"P107199-10","L8CELL4",5.9,2019-08-15,"L8CELL4",-37.356956,"G","SW","Bottom",302,0.726,113.6,31.3,333,NA,NA,6.4,0.17,418.4,32.7,0.187,NA,7.6,NA,0.116,0.106,0.168,10.3,234.1,2152,154,28.7,2.95,4,NA,NA,"L8CELL4",0.052,0.01,0.703003003003003,0.0309309309309309,0.341141141141141,0.462462462462462,0.0981981981981982,146.3,244.4,487,603.999999602778,31.742,18.84571790623,18.6374263322025,1.011
"P107199-11","L8CELL5",0.5,2019-08-15,"L8CELL5",-19.64042,"G","SW","Top",292,0.051,112.8,33,223,NA,NA,6.3,10.4,405.8,30.1,0.549,NA,8.4,NA,0.012,0.002,0.084,9.6,160.4,1622,127,30.8,3.2,7,NA,NA,"L8CELL5",0.072,0.01,0.719282511210762,0.0430493273542601,0.505829596412556,0.569506726457399,0.134977578475336,142.9,170,350,583.999997522957,23.9245,15.3306911907166,14.7723957249313,1.038
"P107199-12","L8CELL5",3.15,2019-08-15,"L8CELL5",-28.334646,"G","SW","Mid",289,0.078,113.9,33.1,223,NA,NA,6.3,6.4,409.3,30.3,0.694,NA,8.1,NA,0.026,0.015,0.083,10,160.5,1641,127,30,3.22,5,NA,NA,"L8CELL5",0.057,0.011,0.719730941704036,0.0448430493273543,0.510762331838565,0.569506726457399,0.135874439461883,144.2,170.5,350,577.999998749888,24.20475,15.4181123869103,14.7124197153352,1.048
"P107199-13","L8CELL5",5.8,2019-08-15,"L8CELL5",-37.028872,"G","SW","Bottom",296,0.993,115.2,26.2,223,NA,NA,6.3,0.2,428.8,34.2,-0.005,NA,7.6,NA,0.089,0.078,0.172,10.8,286.6,2355,126,29.1,2.85,8,NA,NA,"L8CELL5",0.083,0.011,1.28520179372197,0.0484304932735426,0.516591928251121,0.565022421524664,0.153363228699552,149.4,297.4,349,591.999999602778,34.73625,21.3602541194942,14.8315434170933,1.44
"P107199-14","L8CELL6",0.5,2019-08-15,"L8CELL6",-19.64042,"G","SW","Top",294,0.041,114.7,35.4,178,NA,NA,5.9,5.28,408.2,29.6,1.413,NA,7.6,NA,0.127,0.115,0.17,9.7,133.9,1476,109,29.4,3.8,4,NA,NA,"L8CELL6",0.043,0.012,0.752247191011236,0.0544943820224719,0.64438202247191,0.612359550561798,0.166292134831461,144.3,143.6,287,587.999999602778,21.771,14.2336442086001,13.1682204479472,1.081
"P107199-15","L8CELL6",2.95,2019-08-15,"L8CELL6",-27.678478,"G","SW","Mid",295,0.056,113.7,35.5,196,NA,NA,5.9,2.93,406.8,29.8,1.373,NA,7.4,NA,0.134,0.12,0.174,9.8,136.2,1528,118,29.2,3.76,4,NA,NA,"L8CELL6",0.04,0.014,0.694897959183673,0.05,0.580102040816327,0.602040816326531,0.152040816326531,143.5,146,314,589.999999749164,22.538,14.3036350685101,13.8833527416378,1.03
"P107199-16","L8CELL6",5.4,2019-08-15,"L8CELL6",-35.716536,"G","SW","Bottom",303,0.344,116.7,35.1,266,NA,NA,5.9,0.17,423,32,0.795,NA,7.2,NA,0.207,0.193,0.251,10.1,183.5,1903,138,28.6,3.43,4,NA,NA,"L8CELL6",0.044,0.014,0.68984962406015,0.0379699248120301,0.438721804511278,0.518796992481203,0.120300751879699,148.7,193.6,404,605.999999841651,28.06925,16.7154749486049,16.4343073096466,1.017
"P107199-17","L8CELL7",0.5,2019-08-15,"L8CELL7",-19.64042,"G","SW","Top",293,0.04,112,35.9,186,NA,NA,6.1,6.54,398.4,28.9,1.215,NA,7.9,NA,0.09,0.078,0.146,9.4,128.9,1448,112,30.1,3.78,5,NA,NA,"L8CELL7",0.056,0.012,0.693010752688172,0.0505376344086022,0.602150537634409,0.602150537634409,0.155376344086021,140.9,138.3,298,585.999999209189,21.358,13.8161008067567,13.4363593643342,1.028
"P107199-18","L8CELL7",3.05,2019-08-15,"L8CELL7",-28.006562,"G","SW","Mid",294,0.076,112.9,34.8,198,NA,NA,6.1,0.2,403.1,29.4,1.169,NA,7.8,NA,0.091,0.08,0.144,9.8,144.8,1474,115,29.7,3.58,4,NA,NA,"L8CELL7",0.053,0.011,0.731313131313131,0.0494949494949495,0.57020202020202,0.580808080808081,0.148484848484848,142.3,154.6,313,587.999999371264,21.7415,14.6060073065585,13.857317265962,1.054
"P107199-19","L8CELL7",5.6,2019-08-15,"L8CELL7",-36.372704,"G","SW","Bottom",291,0.535,113.1,30.1,315,NA,NA,6.1,0.2,415.5,32.3,0.16,NA,7.5,NA,0.119,0.107,0.173,10.3,221.4,1901,152,28.8,2.69,4,NA,NA,"L8CELL7",0.054,0.012,0.702857142857143,0.0326984126984127,0.359047619047619,0.482539682539683,0.102539682539683,145.4,231.7,467,581.999999684331,28.03975,18.2248332455709,17.8681162509552,1.02
"P107199-2","L8CELL12",0.5,2019-08-15,"L8CELL12",-19.64042,"G","SW","Top",271,0.036,108.5,28,357,NA,NA,6.6,10.4,400.3,31.4,0.101,NA,8.5,NA,0.011,0.002,0.065,10,234.7,2011,176,31.1,2.49,9,NA,NA,"L8CELL12",0.054,0.009,0.657422969187675,0.0280112044817927,0.303921568627451,0.492997198879552,0.0879551820728291,139.9,244.7,533,541.999996892748,29.66225,18.4644513638567,19.1527311600275,0.964
"P107199-20","L8FEBIN",0.5,2019-08-15,"L8FEBIN",-19.64042,"G","SW","Top",249,0.036,106.6,20.4,400,NA,NA,NA,8.12,398.1,32,0.052,NA,8.2,NA,0.008,0.002,0.056,10.4,303,2380,179,31.8,1.82,10,NA,NA,"L8FEBIN",0.048,0.006,0.7575,0.026,0.2665,0.4475,0.08,138.6,313.4,579,497.99999842905,35.105,21.4002196897452,19.9883440741214,1.071
"P107199-21","L8FEBOUT",0.5,2019-08-15,"L8FEBOUT",-19.64042,"G","SW","Top",248,0.02,108.5,21.4,413,NA,NA,7.6,8.72,404.8,32.5,-0.005,NA,8.5,NA,0.009,0.002,0.059,10.4,286.5,2260,189,30.9,1.94,9,NA,NA,"L8FEBOUT",0.05,0.007,0.693704600484262,0.025181598062954,0.26271186440678,0.457627118644068,0.0786924939467312,141,296.9,602,495.999996892748,33.335,20.8175438684062,20.5432689584933,1.013
"P107199-3","L8CELL12",3.3,2019-08-15,"L8CELL12",-28.826772,"G","SW","Mid",268,0.072,106,26.5,352,NA,NA,6.6,6.53,392.9,31.1,0.081,NA,8.4,NA,0.007,0.002,0.06,10.1,239.5,2158,170,30.6,2.33,8,NA,NA,"L8CELL12",0.053,0.005,0.680397727272727,0.0286931818181818,0.301136363636364,0.482954545454545,0.0883522727272727,137.1,249.6,522,535.999997522957,31.8305,18.5283683953917,18.8267895030794,0.984
"P107199-4","L8CELL12",6.1,2019-08-15,"L8CELL12",-38.013124,"G","SW","Bottom",283,1.119,114.3,21.9,460,NA,NA,6.6,0.17,426.2,34.2,-0.005,NA,7.7,NA,0.018,0.008,0.078,10.8,323,2525,193,29.2,2.83,4,NA,NA,"L8CELL12",0.06,0.01,0.702173913043478,0.0234782608695652,0.248478260869565,0.419565217391304,0.0743478260869565,148.5,333.8,653,565.999999500215,37.24375,22.9056947636088,22.6520813543907,1.011
"P107199-5","L8CELL3",0.5,2019-08-15,"L8CELL3",-19.64042,"G","SW","Top",256,0.03,104.4,22.8,406,NA,NA,7,9.56,392.6,32,-0.005,NA,8.5,NA,0.008,0.002,0.055,10.1,283.4,2295,185,31.1,2,8,NA,NA,"L8CELL3",0.047,0.006,0.698029556650246,0.0248768472906404,0.257142857142857,0.455665024630542,0.0788177339901478,136.4,293.5,591,511.999996892748,33.85125,20.4298523341857,20.4224624885752,1
"P107199-6","L8CELL3",3.5,2019-08-15,"L8CELL3",-29.48294,"G","SW","Mid",257,0.104,106.9,22.1,414,NA,NA,7,4.34,399.9,32.3,0.005,NA,8.2,NA,0.006,0.002,0.053,10.5,295.8,2340,187,30.2,1.93,6,NA,NA,"L8CELL3",0.047,0.004,0.714492753623188,0.0253623188405797,0.258212560386473,0.451690821256039,0.0780193236714976,139.2,306.3,601,513.99999842905,34.515,21.1330048394784,20.7097650907267,1.02
"P107199-7","L8CELL3",6.5,2019-08-15,"L8CELL3",-39.32546,"G","SW","Bottom",263,0.443,108,21.3,434,NA,NA,7,0.2,403.3,32.4,-0.005,NA,7.7,NA,0.008,0.002,0.07,10.5,305.8,2513,190,29.2,2.14,6,NA,NA,"L8CELL3",0.062,0.006,0.704608294930876,0.0241935483870968,0.248847926267281,0.43778801843318,0.0746543778801843,140.4,316.3,624,525.999999500215,37.06675,21.6499053897896,21.4563529660351,1.009
"P107199-8","L8CELL4",0.5,2019-08-15,"L8CELL4",-19.64042,"G","SW","Top",293,0.045,112.4,34.2,203,NA,NA,6.4,6.98,402.3,29.5,1.068,NA,8,NA,0.07,0.056,0.131,9.7,139.1,1497,118,30.1,3.58,4,NA,NA,"L8CELL4",0.061,0.014,0.685221674876847,0.0477832512315271,0.553694581280788,0.58128078817734,0.145320197044335,141.9,148.8,321,585.999999005569,22.08075,14.3370635610539,14.0408299482164,1.021
"P107199-9","L8CELL4",3.2,2019-08-15,"L8CELL4",-28.498688,"G","SW","Mid",290,0.08,112.4,33.7,200,NA,NA,6.4,3.11,402.8,29.6,1.05,NA,7.8,NA,0.075,0.063,0.124,9.9,147.1,1692,116,29.6,3.52,4,NA,NA,"L8CELL4",0.049,0.012,0.7355,0.0495,0.562,0.58,0.148,142,157,316,579.999999371264,24.957,14.7003384763693,13.8545870632218,1.061
